森田一義,ビートたけし,明石家さんま,所ジョージ,笑福亭鶴瓶,とんねるず,ダウンタウン,ウッチャンナンチャン,爆笑問題,さまぁ～ず,今田耕司,東野幸治,江頭2:50,ネプチューン,くりぃむしちゅー,雨上がり決死隊,ナインティナイン,キャイ～ン,ココリコ,オアシズ,よゐこ,加藤浩次,千原ジュニア,カンニング,土田晃之,ケンドーコバヤシ,ロンドンブーツ,ビビる大木,タカアンドトシ,ブラックマヨネーズ,フットボールアワー,チュートリアル,バナナマン,おぎやはぎ,有吉弘行,山崎弘也,劇団ひとり,小籔千豊,アンジャッシュ,バカリズム,オードリー,ピース,平成ノブシコブシ,ウーマンラッシュアワー,NON STYLE,山里亮太,キングコング,ドランクドラゴン,インパルス,ロバート,アンガールズ,千鳥,森三中,柳原可奈子,ハリセンボン,オリエンタルラジオ,狩野英孝,ハライチ
383,4,2,3,116,24,1,1,187,167,4,4,1,0,0,3,13,4,0,9,9,3,128,7,0,2,4,6,103,0,6,0,128,2,0,122,121,5,2,0,0,139,2,1,0,1,1,2,10,8,14,4,1,100,6,0,2,124,
4,373,4,48,5,8,3,4,8,6,6,1,0,2,2,3,4,9,2,8,7,3,6,7,2,3,4,5,10,3,2,2,73,6,2,6,6,3,5,0,8,5,6,3,0,5,2,4,5,13,6,7,7,9,3,4,1,3,
2,4,299,3,4,1,2,1,3,2,4,9,0,1,6,11,7,11,1,19,7,3,15,7,5,4,4,8,4,67,13,7,2,4,1,7,1,5,12,0,10,7,14,3,0,5,3,12,3,21,5,6,13,6,14,3,0,4,
3,48,3,287,4,2,0,2,5,3,0,1,0,1,1,0,1,5,2,5,3,2,2,1,0,1,2,8,5,1,3,1,2,7,0,2,4,0,42,0,5,4,5,1,1,4,0,1,3,6,2,1,5,5,2,2,0,1,
116,5,4,4,432,16,1,2,60,60,3,1,1,1,2,3,14,6,2,9,8,6,57,7,2,4,4,11,38,2,6,0,56,6,1,115,53,5,3,1,2,118,5,2,0,3,1,4,6,8,11,5,5,38,8,3,2,58,
24,8,1,2,16,158,1,1,12,26,2,1,0,0,1,0,8,9,2,3,6,3,13,9,2,0,2,4,7,0,0,0,53,39,24,15,9,0,1,0,0,15,2,0,1,3,2,1,0,3,3,0,1,5,1,3,7,21,
1,3,2,0,1,1,408,1,1,30,3,37,3,3,0,37,3,40,83,16,11,0,14,9,8,23,5,34,2,5,14,3,20,26,5,2,7,51,25,7,8,27,10,5,3,1,4,17,13,19,16,13,15,5,18,6,6,14,
1,4,1,2,2,1,1,525,2,7,0,4,0,4,5,4,2,14,33,16,11,2,1,7,73,7,3,8,5,12,8,13,10,6,47,67,4,0,67,1,157,17,11,6,0,45,2,52,38,37,5,10,126,10,34,56,20,8,
187,8,3,5,60,12,1,2,679,63,6,3,3,9,4,6,14,16,2,29,10,7,101,11,34,0,5,9,109,3,30,1,61,6,10,59,100,9,19,4,15,78,53,23,2,6,1,6,8,19,86,5,5,102,13,85,4,71,
167,6,2,3,60,26,30,7,63,536,3,4,0,4,3,29,8,36,4,20,27,1,103,19,4,1,7,3,76,3,13,0,117,15,3,98,60,7,18,0,7,70,11,2,4,8,2,13,8,25,18,2,8,39,13,19,3,135,
4,6,4,0,3,2,3,0,6,3,513,19,1,19,20,52,6,9,5,22,13,3,12,7,13,16,1,6,6,3,29,65,4,6,0,7,36,6,24,3,51,20,11,15,4,5,2,16,6,19,12,4,27,9,18,17,10,11,
4,1,9,1,1,1,37,4,3,4,19,393,0,7,8,73,54,1,3,13,7,3,12,2,2,6,0,7,24,2,54,10,4,5,8,4,7,32,45,7,6,31,8,2,3,7,1,4,3,13,3,5,14,4,10,32,3,4,
1,0,0,0,1,0,3,0,3,0,1,0,20,1,0,6,5,5,4,6,9,5,0,1,4,4,2,0,1,0,5,3,2,0,4,2,3,2,2,3,3,3,1,0,0,0,1,2,0,1,4,1,1,1,3,1,5,0,
0,2,1,1,1,0,3,4,9,4,19,7,1,510,82,10,1,12,6,14,2,5,11,7,92,15,1,23,4,1,22,82,45,4,38,3,25,7,35,5,26,9,19,9,1,1,0,6,1,15,18,6,22,6,19,9,10,42,
0,2,6,1,2,1,0,5,4,3,20,8,0,82,629,6,3,7,1,58,11,2,14,12,10,8,2,11,59,2,25,84,32,13,64,10,24,3,36,30,9,19,33,7,4,4,2,19,13,21,15,2,82,57,19,15,13,23,
3,3,11,0,3,0,37,4,6,29,52,73,6,10,6,613,16,57,17,27,31,10,41,20,57,30,8,79,5,9,182,30,85,25,25,17,20,46,64,17,65,124,27,26,2,1,4,38,7,28,50,21,21,6,27,19,53,11,
13,4,7,1,14,8,3,2,14,8,6,54,5,1,3,16,530,7,9,37,55,58,9,3,22,74,7,78,9,3,27,14,77,6,37,12,10,1,10,4,10,26,9,13,3,28,4,8,6,12,5,12,25,73,15,15,2,17,
4,9,11,5,6,9,40,14,16,36,9,1,5,12,7,57,7,486,12,25,34,10,10,12,29,11,9,11,16,4,16,13,27,17,13,15,10,7,21,20,13,20,7,5,0,5,1,55,6,16,18,6,22,63,16,12,15,8,
0,2,1,2,2,2,83,33,2,4,5,3,4,6,1,17,9,12,327,9,61,12,5,10,11,8,7,6,57,3,9,12,6,8,5,55,8,5,15,2,69,13,6,2,0,3,1,13,3,20,13,7,38,4,9,4,5,3,
9,8,19,5,9,3,16,16,29,20,22,13,6,14,58,27,37,25,9,561,51,39,24,20,24,15,30,21,22,6,44,34,37,29,55,26,15,16,56,17,28,24,28,6,2,16,7,35,9,18,37,8,67,13,38,19,29,25,
9,7,7,3,8,6,11,11,10,27,13,7,9,2,11,31,55,34,61,51,399,47,14,27,16,18,14,8,107,7,24,10,20,17,14,86,13,10,32,20,67,21,21,6,2,10,2,23,9,45,23,19,8,12,10,39,20,22,
3,3,3,2,6,3,0,2,7,1,3,3,5,5,2,10,58,10,12,39,47,741,3,7,5,7,12,9,5,4,9,4,5,10,2,8,6,1,6,1,5,12,13,7,2,24,8,7,3,82,12,3,23,6,13,10,4,4,
128,6,15,2,57,13,14,1,101,103,12,12,0,11,14,41,9,10,5,24,14,3,568,21,15,79,29,13,54,7,87,10,76,16,22,73,72,71,17,11,8,83,26,9,1,7,3,27,13,21,22,22,14,42,14,31,23,71,
